"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Fri Nov 04 06:36:50 UTC 2022","Fri Nov 04 06:37:02 UTC 2022","11634","","Telnyx product journey","","Telnyx product journey","check Video API product","check Video API product",""
"passed","Fri Nov 04 06:36:49 UTC 2022","Fri Nov 04 06:36:52 UTC 2022","3114","","Telnyx product journey","","Telnyx product journey","check Wireless product(alerting)","check Wireless product(alerting)",""
"failed","Fri Nov 04 06:36:37 UTC 2022","Fri Nov 04 06:36:49 UTC 2022","11769","","Telnyx product journey","","Telnyx product journey","check Wireless product(cost-saving standby mode)","check Wireless product(cost-saving standby mode)",""
"broken","Fri Nov 04 06:36:39 UTC 2022","Fri Nov 04 06:36:44 UTC 2022","5041","","Telnyx product journey","","Telnyx product journey","check Elastic SIP Trunking product","check Elastic SIP Trunking product",""
"passed","Fri Nov 04 06:36:20 UTC 2022","Fri Nov 04 06:36:29 UTC 2022","9131","","Telnyx what will you build journey(part2)","","Telnyx what will you build journey(part2)","check Abra is keeping industrial drilling","check Abra is keeping industrial drilling",""
"passed","Fri Nov 04 06:36:30 UTC 2022","Fri Nov 04 06:36:36 UTC 2022","5884","","Telnyx product journey","","Telnyx product journey","check Messaging API product(Verify API)","check Messaging API product(Verify API)",""
"passed","Fri Nov 04 06:36:52 UTC 2022","Fri Nov 04 06:36:54 UTC 2022","2041","","Telnyx product journey","","Telnyx product journey","check Wireless product(live reports)","check Wireless product(live reports)",""
"passed","Fri Nov 04 06:36:48 UTC 2022","Fri Nov 04 06:36:50 UTC 2022","2455","","Telnyx product journey","","Telnyx product journey","check International Numbers product(FastPort)","check International Numbers product(FastPort)",""
"passed","Fri Nov 04 06:36:44 UTC 2022","Fri Nov 04 06:36:46 UTC 2022","1884","","Telnyx product journey","","Telnyx product journey","check International Numbers product(PSTN)","check International Numbers product(PSTN)",""
"passed","Fri Nov 04 06:36:30 UTC 2022","Fri Nov 04 06:36:37 UTC 2022","6381","","Telnyx product journey","","Telnyx product journey","check Wireless product( 588 carriers )","check Wireless product( 588 carriers )",""
"passed","Fri Nov 04 06:36:29 UTC 2022","Fri Nov 04 06:36:33 UTC 2022","3985","","Telnyx what will you build journey(part2)","","Telnyx what will you build journey(part2)","check Valor combines wireless data with","check Valor combines wireless data with",""
"broken","Fri Nov 04 06:36:54 UTC 2022","Fri Nov 04 06:37:04 UTC 2022","10730","","Telnyx product journey","","Telnyx product journey","check Wireless product(public or private IP)","check Wireless product(public or private IP)",""
"passed","Fri Nov 04 06:37:04 UTC 2022","Fri Nov 04 06:37:09 UTC 2022","4816","","Telnyx product journey","","Telnyx product journey","check Wireless product(over-the-air SIM)","check Wireless product(over-the-air SIM)",""
"passed","Fri Nov 04 06:36:33 UTC 2022","Fri Nov 04 06:36:36 UTC 2022","3644","","Telnyx what will you build journey(part2)","","Telnyx what will you build journey(part2)","check JLS provides peace of mind to","check JLS provides peace of mind to",""
"passed","Fri Nov 04 06:36:20 UTC 2022","Fri Nov 04 06:36:30 UTC 2022","10664","","Telnyx product journey","","Telnyx product journey","check Wireless product(explore Point)","check Wireless product(explore Point)",""
"passed","Fri Nov 04 06:36:20 UTC 2022","Fri Nov 04 06:36:30 UTC 2022","10477","","Telnyx product journey","","Telnyx product journey","check Messaging API product(twexit-api)","check Messaging API product(twexit-api)",""
"passed","Fri Nov 04 06:36:46 UTC 2022","Fri Nov 04 06:36:48 UTC 2022","1988","","Telnyx product journey","","Telnyx product journey","check International Numbers product(Toll-free Numbers)","check International Numbers product(Toll-free Numbers)",""
"failed","Fri Nov 04 06:36:20 UTC 2022","Fri Nov 04 06:36:39 UTC 2022","19044","","Telnyx product journey","","Telnyx product journey","check Voice API product","check Voice API product",""
"passed","Fri Nov 04 06:36:20 UTC 2022","Fri Nov 04 06:36:28 UTC 2022","8387","","Telnyx what will you build journey","","Telnyx what will you build journey","check Colectivo empowers delivery","check Colectivo empowers delivery",""
"passed","Fri Nov 04 06:36:33 UTC 2022","Fri Nov 04 06:36:37 UTC 2022","3799","","Telnyx what will you build journey","","Telnyx what will you build journey","check Flowaste helps businesses reduce","check Flowaste helps businesses reduce",""
"passed","Fri Nov 04 06:36:28 UTC 2022","Fri Nov 04 06:36:33 UTC 2022","5332","","Telnyx what will you build journey","","Telnyx what will you build journey","check Clair Global provides connectivity","check Clair Global provides connectivity",""
