"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 03 16:52:53 EET 2022","Thu Nov 03 16:53:02 EET 2022","8728","","Telnyx product journey","","Telnyx product journey","check Video API product","check Video API product",""
"passed","Thu Nov 03 16:52:25 EET 2022","Thu Nov 03 16:52:32 EET 2022","7012","","Telnyx product journey","","Telnyx product journey","check Voice API product","check Voice API product",""
"passed","Thu Nov 03 20:39:32 EET 2022","Thu Nov 03 20:39:37 EET 2022","4740","","Telnyx what will you build journey","","Telnyx what will you build journey","check Clair Global provides connectivity","check Clair Global provides connectivity",""
"passed","Thu Nov 03 16:52:32 EET 2022","Thu Nov 03 16:52:37 EET 2022","4835","","Telnyx product journey","","Telnyx product journey","check Elastic SIP Trunking product","check Elastic SIP Trunking product",""
"passed","Thu Nov 03 20:39:28 EET 2022","Thu Nov 03 20:39:32 EET 2022","4331","","Telnyx what will you build journey","","Telnyx what will you build journey","check Colectivo empowers delivery","check Colectivo empowers delivery",""
"passed","Thu Nov 03 16:53:02 EET 2022","Thu Nov 03 16:53:06 EET 2022","3788","","Telnyx product journey","","Telnyx product journey","check Wireless product(explore Point)","check Wireless product(explore Point)",""
"broken","Thu Nov 03 09:27:34 EET 2022","Thu Nov 03 09:27:37 EET 2022","2960","","My Login application","","My Login application","check Voice API product","check Voice API product",""
"passed","Thu Nov 03 16:52:37 EET 2022","Thu Nov 03 16:52:41 EET 2022","4423","","Telnyx product journey","","Telnyx product journey","check Messaging API product(twexit-api)","check Messaging API product(twexit-api)",""
"broken","Thu Nov 03 19:57:44 EET 2022","Thu Nov 03 19:57:46 EET 2022","2512","","Telnyx product journey","","Telnyx product journey","""before each"" hook for Telnyx product journey","""before each"" hook for Telnyx product journey",""
"passed","Thu Nov 03 16:54:01 EET 2022","Thu Nov 03 16:54:13 EET 2022","11389","","Telnyx product journey","","Telnyx product journey","check Wireless product(over-the-air SIM)","check Wireless product(over-the-air SIM)",""
"passed","Thu Nov 03 20:40:02 EET 2022","Thu Nov 03 20:40:04 EET 2022","1870","","Telnyx what will you build journey","","Telnyx what will you build journey","check JLS provides peace of mind to","check JLS provides peace of mind to",""
"passed","Thu Nov 03 13:08:01 EET 2022","Thu Nov 03 13:08:04 EET 2022","3112","","Telnyx product journey","","Telnyx product journey","check International Numbers product(Verify API)","check International Numbers product(Verify API)",""
"passed","Thu Nov 03 20:43:46 EET 2022","Thu Nov 03 20:43:53 EET 2022","6933","","Telnyx product journey","","Telnyx product journey","check Wireless product(alerting)","check Wireless product(alerting)",""
"passed","Thu Nov 03 20:02:49 EET 2022","Thu Nov 03 20:02:56 EET 2022","7713","","Telnyx product journey","","Telnyx product journey","check Wireless product( 588 carriers )","check Wireless product( 588 carriers )",""
"passed","Thu Nov 03 20:41:13 EET 2022","Thu Nov 03 20:41:21 EET 2022","8346","","Telnyx what will you build journey","","Telnyx what will you build journey","check Flowaste helps businesses reduce","check Flowaste helps businesses reduce",""
